id,pair,condition,x,mu,z,sigma,seed,low_word,high_word,logit_diff
implicit_00192,,implicit,150.0,150.0,0.0,,92,,,3.4375
implicit_00193,,implicit,150.0,150.0,0.0,,93,,,1.6875
implicit_00194,,implicit,150.0,150.0,0.0,,94,,,1.0625
implicit_00195,,implicit,150.0,150.0,0.0,,95,,,2.375
implicit_00196,,implicit,150.0,150.0,0.0,,96,,,2.0625
implicit_00197,,implicit,150.0,150.0,0.0,,97,,,1.1875
implicit_00198,,implicit,150.0,150.0,0.0,,98,,,2.125
implicit_00199,,implicit,150.0,150.0,0.0,,99,,,2.5
implicit_00200,,implicit,150.0,160.0,-1.0,,0,,,-0.5625
implicit_00201,,implicit,150.0,160.0,-1.0,,1,,,1.0
implicit_00202,,implicit,150.0,160.0,-1.0,,2,,,-0.4375
implicit_00203,,implicit,150.0,160.0,-1.0,,3,,,-1.1875
implicit_00204,,implicit,150.0,160.0,-1.0,,4,,,-1.25
implicit_00205,,implicit,150.0,160.0,-1.0,,5,,,1.8125
implicit_00206,,implicit,150.0,160.0,-1.0,,6,,,0.9375
implicit_00207,,implicit,150.0,160.0,-1.0,,7,,,-0.6875
implicit_00208,,implicit,150.0,160.0,-1.0,,8,,,-0.6875
implicit_00209,,implicit,150.0,160.0,-1.0,,9,,,-0.8125
implicit_00210,,implicit,150.0,160.0,-1.0,,10,,,0.1875
implicit_00211,,implicit,150.0,160.0,-1.0,,11,,,-1.625
implicit_00212,,implicit,150.0,160.0,-1.0,,12,,,-0.4375
implicit_00213,,implicit,150.0,160.0,-1.0,,13,,,-1.0625
implicit_00214,,implicit,150.0,160.0,-1.0,,14,,,-1.1875
implicit_00215,,implicit,150.0,160.0,-1.0,,15,,,-1.4375
implicit_00216,,implicit,150.0,160.0,-1.0,,16,,,-0.75
implicit_00217,,implicit,150.0,160.0,-1.0,,17,,,-0.5625
implicit_00218,,implicit,150.0,160.0,-1.0,,18,,,0.375
implicit_00219,,implicit,150.0,160.0,-1.0,,19,,,-1.5625
implicit_00220,,implicit,150.0,160.0,-1.0,,20,,,0.0
implicit_00221,,implicit,150.0,160.0,-1.0,,21,,,-1.3125
implicit_00222,,implicit,150.0,160.0,-1.0,,22,,,-0.4375
implicit_00223,,implicit,150.0,160.0,-1.0,,23,,,-1.375
implicit_00224,,implicit,150.0,160.0,-1.0,,24,,,-1.5
implicit_00225,,implicit,150.0,160.0,-1.0,,25,,,-0.75
implicit_00226,,implicit,150.0,160.0,-1.0,,26,,,-1.125
implicit_00227,,implicit,150.0,160.0,-1.0,,27,,,-1.5
implicit_00228,,implicit,150.0,160.0,-1.0,,28,,,-1.0
implicit_00229,,implicit,150.0,160.0,-1.0,,29,,,-0.6875
implicit_00230,,implicit,150.0,160.0,-1.0,,30,,,-0.75
implicit_00231,,implicit,150.0,160.0,-1.0,,31,,,0.625
implicit_00232,,implicit,150.0,160.0,-1.0,,32,,,-1.25
